player_slug,nazwa,klub_slug,gk_bramki-stracone,gk_czyste-konta,gk_gk-dlugie-podania-celne,gk_gk-mecze-rozegrane,gk_gk-minuty-rozegrane,gk_gk-piastkowania,gk_gk-podania-celne,gk_gk-podania,gk_gk-rzuty-karne-przeciwko,gk_obronione-rzuty-karne,gk_obronione-strzaly,pole_asysty,pole_celne-strzaly,pole_celnosc-strzalow,pole_dogodne-szanse,pole_dosrodkowania-celne,pole_dosrodkowania,pole_dryblingi,pole_faule-wywalczone,pole_faule,pole_gole-z-gry,pole_gole-z-pola-karnego,pole_gole-z-rzutow-karnych,pole_gole,pole_kanadyjska,pole_karne-wykonane,pole_kluczowe-podania,pole_konwersja-strzalow,pole_minuty,pole_odbiory,pole_podania-celne-w-polowie-przeciwnika,pole_podania-celne,pole_podania-w-polowie-przeciwnika,pole_podania,pole_pojedynki-obronne-wygrane,pole_pojedynki-wygrane,pole_przechwyty,pole_rzuty-rozne,pole_spalone,pole_strzaly,pole_stworzone-dogodne-szanse,pole_wybicia,pole_xa,pole_xg,pole_xgot,pole_zablokowane-strzaly
bojan-nastic,Bojan NastićJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,27,1,4,0,6,16,1,3,0,0,0,0,0,0,0,0,0,0
damian-wojdakowski,Damian WojdakowskiJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
dominik-marczuk,Dominik MarczukJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,10,15,50,0,29,132,65,25,21,6,5,0,6,16,0,45,20,2394,11,287,0,523,568,11,80,10,0,14,30,0,23,6.7,4.9,4,10
dusan-stojinovic,Dušan StojinovićJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,6,6,0,0,0,0,0,0,5,0,407,6,117,0,150,279,6,30,4,0,0,2,0,19,0.4,0.3,0,1
jakub-lewicki,Jakub LewickiJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,0,5,83,0,4,17,9,3,6,2,2,0,2,2,0,4,33,369,7,95,0,122,169,7,23,5,0,0,6,0,5,0.7,0.9,1.7,2
jarosaw-kubicki,Jarosław KubickiJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,3,5,56,0,2,15,12,14,13,0,1,0,1,4,0,17,11,1127,9,356,0,442,668,9,45,7,12,3,9,0,11,1.6,1.3,0.7,4
jesus-imaz-balleste,Jesús Imaz BallestéJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,4,32,48,0,7,27,36,25,19,11,12,0,12,16,0,29,18,2581,10,451,0,641,934,10,63,15,0,13,67,0,18,4.2,12.3,5.7,17
jose-naranjo,José Manuel García NaranjoJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,2,16,52,0,4,21,34,14,32,5,5,0,6,8,0,17,19,1704,21,247,0,336,503,21,91,3,1,9,31,0,18,1.5,6.2,1.8,12
kaan-caliskaner,Kaan ÇalışkanerJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,1,4,57,0,0,0,16,4,5,2,1,0,2,3,0,3,29,251,0,49,0,66,101,0,12,0,0,1,7,0,0,0.4,0.9,0.3,1
krzysztof-toporkiewicz,Krzysztof ToporkiewiczJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
