flash_team,flash_name,expected_klub_slug,current_status,existing_player_slug,proposed_status,proposed_player_slug,evidence,candidate_count,top1_score,top1_relation,top1_clubs,top1_seasons,top1_path,top2_player_slug,top2_score,gap_top1_top2
Górnik Zabrze,Janza E.,gornik-zabrze,unresolved,,auto_same_club_history,erik-janza,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Jelen M.,gornik-zabrze,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Górnik Zabrze,Josema,gornik-zabrze,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Górnik Zabrze,Kmet M.,gornik-zabrze,unresolved,,auto_same_club_history,matus-kmet,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2024/25 | 2025/26,2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Kozuki S.,gornik-zabrze,unresolved,,auto_same_club_history,soichiro-kozuki,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25,2023/24:gornik-zabrze | 2024/25:gornik-zabrze,,,999.0
Górnik Zabrze,Krawczyk P.,gornik-zabrze,unresolved,,auto_same_club_history,piotr-krawczyk,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history,1,117.0,same_club_history,gornik-zabrze | wisla-plock,2023/24 | 2025/26,2023/24:gornik-zabrze | 2025/26:wisla-plock,,,999.0
Górnik Zabrze,Liseth S.,gornik-zabrze,unresolved,,auto_same_club_history,sondre-liseth,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2024/25 | 2025/26,2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Lukoszek K.,gornik-zabrze,unresolved,,auto_same_club_history,kamil-lukoszek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Majchrowicz F.,gornik-zabrze,unresolved,,auto_same_club_history,filip-majchrowicz,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze | radomiak-radom,2023/24 | 2024/25 | 2025/26,2023/24:radomiak-radom | 2024/25:gornik-zabrze | 2025/26:radomiak-radom,,,999.0
Górnik Zabrze,Marsenic M.,gornik-zabrze,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Górnik Zabrze,Mazurek D.,gornik-zabrze,unresolved,,auto_same_club_history,dawid-mazurek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,2,125.0,same_club_target_season,gornik-zabrze,2024/25,2024/25:gornik-zabrze,bartosz-mazurek,94,31.0
Górnik Zabrze,Nascimento F.,gornik-zabrze,unresolved,,auto_same_club_history,filipe-nascimento,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25,2023/24:gornik-zabrze | 2024/25:gornik-zabrze,,,999.0
Górnik Zabrze,Olkowski P.,gornik-zabrze,unresolved,,auto_same_club_history,pawe-mirosaw-olkowski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
Górnik Zabrze,Podolski L.,gornik-zabrze,unresolved,,auto_same_club_history,ukasz-jozef-podolski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | same_club_history | same_club_target_season,1,110.0,same_club_target_season,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,,,999.0
