flash_team,expected_klub_slug,flash_name,candidate_player_slug,candidate_klub_slug,candidate_season,relation,score,reasons,candidate_nazwa
Lech Poznań,lech-poznan,Baranski B.,pawe-baranowski,ruch-chorzow,2023/24,past_season_other_club,84,sim>=0.85:0.889,Paweł BaranowskiRuch Chorzów
Lech Poznań,lech-poznan,Bąkowski K.,krzysztof-maciej-bakowski,radomiak-radom,2023/24,past_season_other_club,96,last_token_exact | last_token_slugstyle | token_overlap_ascii:bakowski | token_overlap_slug:bakowski | initial_match,Krzysztof Maciej BąkowskiRadomiak Radom
Lech Poznań,lech-poznan,Bąkowski K.,tomasz-makowski,zagebie-lubin,2025/26,same_season_other_club,86,sim>=0.85:0.875 | same_season_bonus,Tomasz MakowskiKGHM Zagłębie Lubin
Lech Poznań,lech-poznan,Bąkowski K.,jakub-bartkowski,warta-poznan,2023/24,past_season_other_club,84,sim>=0.85:0.889,Jakub BartkowskiWarta Poznań
Lech Poznań,lech-poznan,Bąkowski K.,marcel-bykowski,piast-gliwice,2023/24,past_season_other_club,84,sim>=0.85:0.875,Marcel BykowskiPiast Gliwice
Lech Poznań,lech-poznan,Bąkowski K.,tomasz-makowski,zagebie-lubin,2023/24,past_season_other_club,84,sim>=0.85:0.875,Tomasz MakowskiKGHM Zagłębie Lubin
Lech Poznań,lech-poznan,Bąkowski K.,tomasz-makowski,zagebie-lubin,2024/25,past_season_other_club,84,sim>=0.85:0.875,Tomasz MakowskiKGHM Zagłębie Lubin
Lech Poznań,lech-poznan,Bąkowski K.,kamil-dankowski,lks-lodz,2023/24,past_season_other_club,82,sim>=0.78:0.824 | initial_match,Kamil DankowskiŁKS Łódź
Lech Poznań,lech-poznan,Bąkowski K.,jakub-ukowski,gks-katowice,2025/26,same_season_other_club,80,sim>=0.78:0.800 | same_season_bonus,Jakub ŁukowskiGKS Katowice
Lech Poznań,lech-poznan,Ismaheel T.,taofeek-ajibade-ismaheel,gornik-zabrze,2025/26,same_season_other_club,98,last_token_exact | last_token_slugstyle | token_overlap_ascii:ismaheel | token_overlap_slug:ismaheel | initial_match | same_season_bonus,Taofeek Ajibade IsmaheelGórnik Zabrze
Lech Poznań,lech-poznan,Ismaheel T.,taofeek-ajibade-ismaheel,gornik-zabrze,2024/25,past_season_other_club,96,last_token_exact | last_token_slugstyle | token_overlap_ascii:ismaheel | token_overlap_slug:ismaheel | initial_match,Taofeek Ajibade IsmaheelGórnik Zabrze
Lech Poznań,lech-poznan,Salamon B.,bartosz-salamon,lech-poznan,2023/24,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:salamon | token_overlap_slug:salamon | sim>=0.92:1.000 | initial_match | same_club_bonus,Bartosz SalamonLech Poznań
Lech Poznań,lech-poznan,Salamon B.,bartosz-salamon,lech-poznan,2024/25,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:salamon | token_overlap_slug:salamon | sim>=0.92:1.000 | initial_match | same_club_bonus,Bartosz SalamonLech Poznań
Lechia Gdańsk,lechia-gdansk,Brzek B.,jakub-burek,wisla-plock,2025/26,same_season_other_club,80,sim>=0.78:0.800 | same_season_bonus,Jakub BurekWisła Płock
Lechia Gdańsk,lechia-gdansk,Gutowski K.,jakub-ukowski,gks-katowice,2025/26,same_season_other_club,80,sim>=0.78:0.800 | same_season_bonus,Jakub ŁukowskiGKS Katowice
Lechia Gdańsk,lechia-gdansk,Gutowski K.,jakub-ukowski,korona-kielce,2023/24,past_season_other_club,78,sim>=0.78:0.800,Jakub ŁukowskiKorona Kielce
Lechia Gdańsk,lechia-gdansk,Gutowski K.,mateusz-egowski,pogon-szczecin,2023/24,past_season_other_club,78,sim>=0.78:0.800,Mateusz Jacek ŁęgowskiPogoń Szczecin
Lechia Gdańsk,lechia-gdansk,Gutowski K.,jakub-ukowski,widzew-lodz,2024/25,past_season_other_club,78,sim>=0.78:0.800,Jakub ŁukowskiWidzew Łódź
Lechia Gdańsk,lechia-gdansk,Kaczorowski M.,oskar-koprowski,lks-lodz,2023/24,past_season_other_club,78,sim>=0.78:0.800,Oskar KoprowskiŁKS Łódź
Lechia Gdańsk,lechia-gdansk,Wendt K.,karl-sydney-wendt,lechia-gdansk,2024/25,past_season_same_club,99,last_token_exact | last_token_slugstyle | token_overlap_ascii:wendt | token_overlap_slug:wendt | initial_match | same_club_bonus,Karl Sydney WendtLechia Gdańsk
Legia Warszawa,legia-warszawa,Gual M.,marc-gual-huguet,legia-warszawa,2023/24,past_season_same_club,93,token_overlap_ascii:gual | token_overlap_slug:gual | initial_match | same_club_bonus,Marc Gual HuguetLegia Warszawa
Legia Warszawa,legia-warszawa,Gual M.,marc-gual-huguet,legia-warszawa,2024/25,past_season_same_club,93,token_overlap_ascii:gual | token_overlap_slug:gual | initial_match | same_club_bonus,Marc Gual HuguetLegia Warszawa
Legia Warszawa,legia-warszawa,Kobylak G.,gabriel-kobylak,legia-warszawa,2023/24,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:kobylak | token_overlap_slug:kobylak | sim>=0.92:1.000 | initial_match | same_club_bonus,Gabriel KobylakLegia Warszawa
Legia Warszawa,legia-warszawa,Kobylak G.,gabriel-kobylak,legia-warszawa,2024/25,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:kobylak | token_overlap_slug:kobylak | sim>=0.92:1.000 | initial_match | same_club_bonus,Gabriel KobylakLegia Warszawa
Piast Gliwice,piast-gliwice,Daniel J.,daniel-noel-mikael-hakans,lech-poznan,2025/26,same_season_other_club,88,token_overlap_ascii:daniel | token_overlap_slug:daniel | same_season_bonus,Daniel Noel Mikael HåkansLech Poznań
Piast Gliwice,piast-gliwice,Daniel J.,daniel-pacheco-lobato,wisla-plock,2025/26,same_season_other_club,88,token_overlap_ascii:daniel | token_overlap_slug:daniel | same_season_bonus,Dani PachecoWisła Płock
Piast Gliwice,piast-gliwice,Daniel J.,louka-daniel-prip-andreasen,jagiellonia-bialystok,2025/26,same_season_other_club,88,token_overlap_ascii:daniel | token_overlap_slug:daniel | same_season_bonus,Louka Daniel Prip AndreasenJagiellonia Białystok
Piast Gliwice,piast-gliwice,Daniel J.,daniel-bak,korona-kielce,2023/24,past_season_other_club,86,token_overlap_ascii:daniel | token_overlap_slug:daniel | sim>=0.78:0.800,Daniel BąkKorona Kielce
