kolejka,gospodarz,gosc,gole_gosp,gole_gosc,wynik_1x2,lambda_home,lambda_away,p_home_log,p_draw_log,p_away_log,log_loss_log,log_loss_base
22,Lechia Gdańsk,Zagłębie Lubin,0,2,A,1.6358425594219261,1.1943153499709556,0.466,0.2738,0.2602,1.3462,1.2768
22,Górnik Zabrze,Pogoń Szczecin,0,1,A,1.521644507803442,1.3412271614036138,0.4214,0.3091,0.2695,1.311,1.0927
22,Korona Kielce,Lech Poznań,1,2,A,1.2400422261954647,1.3675500219693062,0.3867,0.3323,0.281,1.2695,0.9203
22,Raków Częstochowa,Bruk-Bet Termalica Nieciecza,1,0,H,1.7721627066882395,0.8196199941635016,0.5626,0.2013,0.2361,0.5752,0.5109
22,Jagiellonia Białystok,Radomiak Radom,1,1,D,1.9485645059956995,1.2058042672623226,0.4966,0.2566,0.2469,1.3604,1.5157
22,Piast Gliwice,Motor Lublin,1,2,A,1.4986503212591091,1.1550107656020583,0.4603,0.275,0.2648,1.3288,1.2294
22,Widzew Łódź,Cracovia,0,0,D,1.2436710161171514,1.1586250368365416,0.4327,0.2914,0.2759,1.2331,1.2868
23,Arka Gdynia,Lechia Gdańsk,2,2,D,1.1598351319918452,1.4512273895679397,0.3476,0.3485,0.3038,1.054,1.3473
23,Bruk-Bet Termalica Nieciecza,Radomiak Radom,1,1,D,1.3865699604191792,1.3565433916653933,0.3904,0.3183,0.2914,1.1448,1.3634
23,Motor Lublin,Korona Kielce,2,0,H,1.4473365544103165,1.366714198023319,0.3928,0.3172,0.29,0.9345,0.9357
23,Zagłębie Lubin,Wisła Płock,2,0,H,1.2716228749863423,1.0319225535781733,0.4671,0.2615,0.2714,0.7613,0.8708
23,Pogoń Szczecin,Widzew Łódź,1,0,H,1.7959221108655203,1.1008284005773004,0.4941,0.2486,0.2572,0.7049,0.6228
23,Cracovia,Piast Gliwice,2,3,A,1.407736373955387,0.8986407386557523,0.5149,0.2308,0.2543,1.3693,1.4268
23,GKS Katowice,Górnik Zabrze,3,1,H,1.297202134697986,1.2805579091516148,0.4028,0.3079,0.2893,0.9093,0.9907
23,Lech Poznań,Raków Częstochowa,4,3,H,1.408764936740907,1.059982886922764,0.4714,0.26,0.2685,0.752,0.7993
23,Jagiellonia Białystok,Legia Warszawa,2,2,D,1.6916005071650886,1.437941593205114,0.3946,0.3188,0.2866,1.1431,1.4471
24,Wisła Płock,Arka Gdynia,0,3,A,1.4732613679124056,0.7981185795574308,0.5559,0.1947,0.2494,1.3888,1.5934
24,Legia Warszawa,Cracovia,1,0,H,1.5648084806332874,1.0554236257863,0.4932,0.2473,0.2595,0.7068,0.7108
24,Lechia Gdańsk,Jagiellonia Białystok,3,0,H,1.611454174916602,1.6930539498730153,0.3199,0.4139,0.2662,1.1398,1.0
24,Motor Lublin,Górnik Zabrze,0,0,D,1.395056359877381,1.4552778538658617,0.3673,0.3564,0.2763,1.0318,1.3859
24,Radomiak Radom,GKS Katowice,0,1,A,1.5760344016351053,1.2236630566540865,0.4468,0.2878,0.2654,1.3266,1.2164
24,Korona Kielce,Bruk-Bet Termalica Nieciecza,2,1,H,1.6405936615763455,1.0121309749092835,0.5117,0.2345,0.2538,0.6699,0.6529
24,Raków Częstochowa,Pogoń Szczecin,2,0,H,1.5458556629206843,1.1629878914693559,0.4614,0.2739,0.2647,0.7735,0.7734
24,Piast Gliwice,Zagłębie Lubin,1,3,A,1.309136869034561,1.0197316631702276,0.4814,0.2488,0.2699,1.3099,1.237
24,Widzew Łódź,Lech Poznań,2,1,H,1.2023631481508699,1.4011990196273298,0.3669,0.3494,0.2837,1.0028,1.1318
25,Arka Gdynia,Widzew Łódź,0,0,D,1.0588490593184,1.2853199098277481,0.3911,0.3186,0.2903,1.1438,1.2793
25,Bruk-Bet Termalica Nieciecza,Motor Lublin,1,2,A,1.5781778955034305,1.3802431326318352,0.4228,0.3202,0.257,1.3588,1.0953
25,Zagłębie Lubin,Lech Poznań,0,1,A,1.136766752727537,1.4793312320712755,0.3562,0.369,0.2748,1.2917,0.7975
