match_id,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,flash_id,flash_url,strzaly_gosp_flash,strzaly_gosc_flash,celne_gosp_flash,celne_gosc_flash,xg_gosp_flash,xg_gosc_flash
1739,7,2023-09-03,Zagłębie Lubin,Pogoń Szczecin,1.0,0.0,19.0,7.0,8.0,1.0,2uHwcJJn,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=2uHwcJJn,19,7,8,1,,
1740,7,2023-09-02,Lech Poznań,Górnik Zabrze,1.0,1.0,20.0,6.0,6.0,2.0,tWFsdwZh,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=tWFsdwZh,20,6,5,2,,
1741,7,2023-09-03,Legia Warszawa,Widzew Łódź,3.0,1.0,20.0,8.0,10.0,3.0,Of5necla,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=Of5necla,20,8,10,3,,
1742,7,2023-09-02,Radomiak Radom,Piast Gliwice,1.0,1.0,14.0,21.0,3.0,7.0,MuOkfH35,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=MuOkfH35,13,22,3,9,,
1743,7,2023-09-03,Raków Częstochowa,Puszcza Niepołomice,2.0,0.0,13.0,8.0,6.0,1.0,G2NggyJB,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=G2NggyJB,12,8,6,2,,
1744,7,2023-09-01,Ruch Chorzów,Stal Mielec,1.0,1.0,17.0,13.0,5.0,4.0,fgMcheYH,https://www.flashscore.pl/mecz/pilka-nozna/ruch-chorzow-S4zygtuJ/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=fgMcheYH,16,14,5,4,,
1745,7,2023-09-01,ŁKS Łódź,Warta Poznań,0.0,2.0,12.0,5.0,1.0,2.0,A3uSzT2p,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=A3uSzT2p,10,5,1,2,,
1746,7,2023-09-03,Śląsk Wrocław,Jagiellonia Białystok,2.0,1.0,12.0,9.0,4.0,3.0,lfvWZnIj,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=lfvWZnIj,13,9,4,3,,
1747,8,2023-09-15,Górnik Zabrze,Ruch Chorzów,1.0,0.0,16.0,10.0,3.0,1.0,2cSDbWfi,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=2cSDbWfi,15,10,3,1,,
1748,8,2023-09-17,Jagiellonia Białystok,Radomiak Radom,3.0,2.0,11.0,11.0,5.0,4.0,G0WHcjAc,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=G0WHcjAc,11,11,5,4,,
1749,8,2023-09-16,Piast Gliwice,Legia Warszawa,1.0,1.0,13.0,6.0,3.0,3.0,bPLMdAP3,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=bPLMdAP3,13,6,3,3,,
1750,8,2023-09-16,Pogoń Szczecin,Korona Kielce,3.0,1.0,26.0,8.0,9.0,5.0,xGKQeUvA,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=xGKQeUvA,25,8,9,5,,
1751,8,2023-09-15,Puszcza Niepołomice,Śląsk Wrocław,1.0,3.0,7.0,19.0,4.0,7.0,ptKUflfG,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=ptKUflfG,7,19,4,7,,
1752,8,2023-09-16,Raków Częstochowa,ŁKS Łódź,1.0,0.0,10.0,16.0,1.0,5.0,OWIYg89M,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=OWIYg89M,10,16,1,5,,
1753,8,2023-09-18,Stal Mielec,Zagłębie Lubin,4.0,2.0,18.0,9.0,6.0,4.0,6e8wgSOS,https://www.flashscore.pl/mecz/pilka-nozna/stal-mielec-pxXiDZkQ/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=6e8wgSOS,18,9,6,4,,
1754,8,2023-09-17,Warta Poznań,Lech Poznań,0.0,2.0,7.0,11.0,2.0,5.0,rHa5lnXq,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=rHa5lnXq,7,11,2,5,,
1755,8,2023-09-17,Widzew Łódź,Cracovia,2.0,0.0,10.0,13.0,6.0,2.0,xva9m6nj,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=xva9m6nj,10,12,6,2,,
1756,9,2023-09-23,Cracovia,Pogoń Szczecin,1.0,5.0,14.0,12.0,3.0,5.0,GUcDnQ1d,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=GUcDnQ1d,15,12,3,5,,
